Geo Point,NOMBDEP,NOMBPROV,NOMBDIST,CAPITAL,POBLACION
-14.2835028608|-73.5895828157,AYACUCHO,SUCRE,SAN PEDRO DE LARCAY,SAN PEDRO DE LARCAY,821
-14.2141283396|-73.8646680262,AYACUCHO,SUCRE,HUACAÑA,HUACAÑA,363
-14.1547591268|-73.8344594533,AYACUCHO,SUCRE,MORCOLLA,MORCOLLA,1272
-13.9948166143|-73.804827865,AYACUCHO,SUCRE,QUEROBAMBA,QUEROBAMBA,2620
-14.0125910434|-73.6665905779,AYACUCHO,SUCRE,PAICO,PAICO,539
-13.8912379676|-73.7217603566,AYACUCHO,SUCRE,CHILCAYOC,CHILCAYOC,488
-13.8756565848|-73.8584707804,AYACUCHO,VILCAS HUAMAN,INDEPENDENCIA,PACCHA HUALLHUA,1172
-13.7928460499|-73.9886787459,AYACUCHO,VICTOR FAJARDO,CAYARA,CAYARA,1117
-13.6902848666|-74.4098400632,AYACUCHO,VICTOR FAJARDO,SARHUA,SARHUA,2701
-13.9748258577|-71.7691440842,CUSCO,PARURO,PILLPINTO,PILLPINTO,1052
-13.6509176458|-71.9125903925,CUSCO,PARURO,YAURISQUE,YAURISQUE,2099
-13.9884937172|-71.8626466711,CUSCO,PARURO,ACCHA,ACCHA,3308
-14.2737793738|-71.4420438333,CUSCO,CANAS,YANAOCA,YANAOCA,9558
-13.8859747611|-71.4379171502,CUSCO,QUISPICANCHI,CUSIPATA,CUSIPATA,4821
-14.1517620704|-71.087604398,CUSCO,CANCHIS,SAN PABLO,SAN PABLO,4632
-14.1587409775|-71.3922980184,CUSCO,CANCHIS,TINTA,TINTA,5607
-15.0878973485|-71.1389930982,CUSCO,ESPINAR,OCORURO,OCORURO,1121
-13.9735591222|-75.2344348193,HUANCAVELICA,HUAYTARA,SAN ISIDRO,SAN JUAN DE HUIRPACANCHA,1036
-14.0232933757|-75.0348077061,HUANCAVELICA,HUAYTARA,OCOYO,OCOYO,844
-13.882865539|-74.8827239923,HUANCAVELICA,HUAYTARA,QUERCO,QUERCO,999
-13.7145860636|-75.3682604817,HUANCAVELICA,HUAYTARA,AYAVI,AYAVI,745
-14.3457037371|-75.1475705597,ICA,PALPA,RIO GRANDE,RIO GRANDE,3103
-13.7018097277|-76.1917790605,ICA,PISCO,PISCO,PISCO,78189
-14.4711962407|-75.2576989782,ICA,PALPA,SANTA CRUZ,SANTA CRUZ,1118
-14.1604108084|-75.6516622533,ICA,ICA,PACHACUTEC,PAMPA DE TATE,8254
-13.3042985317|-74.0209562776,AYACUCHO,HUAMANGA,ACOCRO,ACOCRO,8413
-13.1902248005|-74.142170345,AYACUCHO,HUAMANGA,TAMBILLO,TAMBILLO,5723
-13.0747163693|-74.364178507,AYACUCHO,HUAMANGA,SANTIAGO DE PISCHA,SAN PEDRO DE CACHI,1478
-13.3696552996|-72.2767056791,CUSCO,ANTA,HUAROCONDO,HUAROCONDO,4968
-13.4879086703|-72.1599767397,CUSCO,ANTA,ANTA,ANTA,24203
-13.3220609245|-71.8810882399,CUSCO,CALCA,LAMAY,LAMAY,6003
-13.3370025499|-72.1621854947,CUSCO,URUBAMBA,MARAS,MARAS,6818
-13.5573960092|-71.8674559007,CUSCO,CUSCO,SAN JERONIMO,SAN JERONIMO,63604
-13.1392818148|-71.7693107288,CUSCO,PAUCARTAMBO,CHALLABAMBA,CHALLABAMBA,9836
-12.3681386005|-73.8103484583,CUSCO,LA CONVENCION,PICHARI,PICHARI,26618
-12.8768105494|-72.7433729532,CUSCO,LA CONVENCION,SANTA ANA,QUILLABAMBA,31667
-11.7511334034|-72.858915351,CUSCO,LA CONVENCION,MEGANTONI,CAMISEA,8086
-13.0509532201|-72.4732855991,CUSCO,LA CONVENCION,HUAYOPATA,IPAL,5670
-12.916321271|-72.362044284,CUSCO,LA CONVENCION,OCOBAMBA,OCOBAMBA,5071
-13.0535423557|-73.0511947147,CUSCO,LA CONVENCION,VILCABAMBA,LUCMA,11227
-13.2014713868|-72.5001589221,CUSCO,URUBAMBA,MACHUPICCHU,MACHUPICCHU,5915
-13.0450546371|-71.4635166227,CUSCO,PAUCARTAMBO,KOSÑIPATA,PILLCOPATA,5066
-13.2449435867|-72.1312676042,CUSCO,URUBAMBA,URUBAMBA,URUBAMBA,23176
-13.4616253687|-72.3222296759,CUSCO,ANTA,ANCAHUASI,ANCAHUASI,7772
-13.4635010934|-72.0553873294,CUSCO,ANTA,CACHIMAYO,CACHIMAYO,2654
-13.3062983049|-74.4564372217,AYACUCHO,HUAMANGA,VINCHOS,VINCHOS,15300
-13.3463272252|-73.3926094654,AYACUCHO,LA MAR,ORONCCOY,ORONCCOY,1155
-13.1686100137|-73.8660393351,AYACUCHO,LA MAR,CHILCAS,CHILCAS,1731
-13.134562378|-74.2520881574,AYACUCHO,HUAMANGA,AYACUCHO,AYACUCHO,106913
-13.1218897938|-74.2085638793,AYACUCHO,HUAMANGA,JESUS NAZARENO,LAS NAZARENAS,20336
-13.1251121764|-74.3264205788,AYACUCHO,HUAMANGA,SAN JOSE DE TICLLAS,TICLLAS,1483
-13.0647122283|-73.6433485363,AYACUCHO,LA MAR,ANCO,CHIQUINTIRCA,8778
-12.9926547187|-74.1589467033,AYACUCHO,HUANTA,HUAMANGUILLA,HUAMANGUILLA,4382
-12.983082879|-74.2182349367,AYACUCHO,HUANTA,IGUAIN,MACACHACRA,2872
-13.4030346434|-71.654226929,CUSCO,PAUCARTAMBO,COLQUEPATA,COLQUEPATA,9351
-13.4882146459|-71.7742028753,CUSCO,CALCA,SAN SALVADOR,SAN SALVADOR,6135
-13.6876748514|-71.2689613221,CUSCO,QUISPICANCHI,OCONGATE,OCONGATE,18106
-13.5740903513|-71.7886511967,CUSCO,QUISPICANCHI,OROPESA,OROPESA,10668
-13.4180643638|-75.409743609,HUANCAVELICA,CASTROVIRREYNA,TICRAPO,TICRAPO,1478
-13.291887538|-75.4319934317,HUANCAVELICA,CASTROVIRREYNA,MOLLEPAMPA,MOLLEPAMPA,1158
-13.1104847726|-75.511148576,HUANCAVELICA,CASTROVIRREYNA,ARMA,ARMA,909
-13.1265594929|-75.6213614214,HUANCAVELICA,CASTROVIRREYNA,TANTARA,TANTARA,629
-12.9566718213|-75.4427953379,HUANCAVELICA,CASTROVIRREYNA,AURAHUA,AURAHUA,1550
-13.0881631737|-75.1311804883,HUANCAVELICA,CASTROVIRREYNA,SANTA ANA,SANTA ANA,921
-13.1037323336|-74.7375465522,HUANCAVELICA,ANGARAES,LIRCAY,LIRCAY,25115
-12.935057365|-74.8051840049,HUANCAVELICA,ANGARAES,CCOCHACCASA,CCOCHACCASA,3251
-12.8873240277|-74.7060385923,HUANCAVELICA,ANGARAES,ANCHONGA,ANCHONGA,7687
-12.8728792329|-74.4734204925,HUANCAVELICA,ACOBAMBA,CAJA,CAJA,1846
-12.9647997631|-74.6264649322,HUANCAVELICA,ANGARAES,HUANCA-HUANCA,HUANCA-HUANCA,1393
-12.9847678686|-74.3431904481,HUANCAVELICA,ANGARAES,CHINCHO,CHINCHO,919
-12.8172812598|-74.6638479232,HUANCAVELICA,ACOBAMBA,ANTA,ANTA,4930
-12.3291868348|-75.0911053715,HUANCAVELICA,TAYACAJA,ÑAHUIMPUQUIO,ÑAHUIMPUQUIO,1495
-12.2497805205|-74.7672026348,HUANCAVELICA,TAYACAJA,QUISHUAR,QUISHUAR,713
-12.1949066312|-74.7832200387,HUANCAVELICA,TAYACAJA,SALCABAMBA,SALCABAMBA,3967
-12.1065071564|-74.7514406559,HUANCAVELICA,TAYACAJA,SALCAHUASI,SALCAHUASI,2675
-12.7104979424|-74.3848767648,HUANCAVELICA,CHURCAMPA,CHURCAMPA,CHURCAMPA,5304
-12.4678263166|-74.7273932827,HUANCAVELICA,TAYACAJA,QUICHUAS,QUICHUAS,4260
-12.6435331618|-74.5630534706,HUANCAVELICA,CHURCAMPA,ANCO,LA ESMERALDA,5873
-13.5551913516|-75.6159107063,ICA,PISCO,HUANCANO,HUANCANO,1607
-12.1105172146|-75.204098057,JUNIN,HUANCAYO,HUANCAN,HUANCAN,26850
-11.9933232138|-75.0712799669,JUNIN,HUANCAYO,HUANCAYO,HUANCAYO,125525
-11.91246164|-75.3135151628,JUNIN,CONCEPCION,CONCEPCION,CONCEPCION,16695
-11.8537364374|-75.2229562717,JUNIN,HUANCAYO,INGENIO,INGENIO,2552
-11.8898986971|-75.3146271739,JUNIN,CONCEPCION,NUEVE DE JULIO,SANTO DOMINGO DEL PRADO,2429
-12.019057661|-75.2875089972,JUNIN,HUANCAYO,SICAYA,SICAYA,18371
-11.9679755353|-75.2441203769,JUNIN,HUANCAYO,HUALHUAS,HUALHUAS,5657
-11.9553365487|-75.397079679,JUNIN,CONCEPCION,ACO,ACO,1725
-12.3712238114|-75.2860890211,JUNIN,HUANCAYO,HUASICANCHA,HUASICANCHA,865
-12.4856577947|-75.4372524394,JUNIN,HUANCAYO,CHONGOS ALTO,CHONGOS ALTO,1573
-12.2517931022|-75.1547028589,JUNIN,HUANCAYO,CULLHUAS,CULLHUAS,1454
-12.1866998598|-75.2093509224,JUNIN,HUANCAYO,HUACRAPUQUIO,HUACRAPUQUIO,1429
-12.2098289461|-75.2411322773,JUNIN,HUANCAYO,CHUPURO,CHUPURO,2140
-9.02758249842|-78.6184519092,ANCASH,SANTA,COISHCO,COISHCO,17266
-5.91672489962|-78.6077074477,AMAZONAS,UTCUBAMBA,CUMBA,CUMBA,9068
-4.84542432042|-77.9303731793,AMAZONAS,CONDORCANQUI,NIEVA,SANTA MARIA DE NIEVA,22172
-6.80772633582|-77.9491658524,AMAZONAS,CHACHAPOYAS,BALSAS,BALSAS,1243
-6.80889724453|-77.7987070278,AMAZONAS,CHACHAPOYAS,LEIMEBAMBA,LEIMEBAMBA,3913
-6.57890315088|-77.7700023078,AMAZONAS,CHACHAPOYAS,MARISCAL CASTILLA,DURAZNOPAMPA,1469
-6.62810622185|-77.7183779094,AMAZONAS,CHACHAPOYAS,MONTEVIDEO,MONTEVIDEO,497
-6.55307936263|-77.5760311618,AMAZONAS,RODRIGUEZ DE MENDOZA,LIMABAMBA,LIMABAMBA,2528
-6.43557136262|-77.5305643458,AMAZONAS,RODRIGUEZ DE MENDOZA,HUAMBO,HUAMBO,2731
-6.42056600716|-77.8238173597,AMAZONAS,CHACHAPOYAS,MAGDALENA,MAGDALENA,894
-6.40730433007|-78.0048091035,AMAZONAS,LUYA,LONGUITA,LONGUITA,904
-6.37280613919|-77.4389577729,AMAZONAS,RODRIGUEZ DE MENDOZA,SAN NICOLAS,MENDOZA,6275
-6.49135071133|-77.4671568143,AMAZONAS,RODRIGUEZ DE MENDOZA,TOTORA,TOTORA,273
-6.31003152114|-78.0106389441,AMAZONAS,LUYA,COLCAMAR,COLCAMAR,2030
-6.30757148488|-78.2918478772,AMAZONAS,LUYA,PROVIDENCIA,PROVIDENCIA,1429
-6.30911425136|-77.746353803,AMAZONAS,CHACHAPOYAS,SOLOCO,SOLOCO,1287
-6.29796969244|-77.6771663575,AMAZONAS,CHACHAPOYAS,CHETO,CHETO,654
-6.17597398124|-77.7964045295,AMAZONAS,CHACHAPOYAS,SONCHE,SAN JUAN DE SONCHE,250
-6.15614501127|-77.8749791774,AMAZONAS,CHACHAPOYAS,HUANCAS,HUANCAS,1330
-6.12653479808|-78.1911941394,AMAZONAS,LUYA,CONILA,COHECHAN,1974
-6.10816094252|-77.6854906461,AMAZONAS,CHACHAPOYAS,QUINJALCA,QUINJALCA,805
-6.08063389808|-77.869171342,AMAZONAS,BONGARA,VALERA,VALERA (SAN PABLO),897
-10.7011694919|-76.2465887272,PASCO,PASCO,CHAUPIMARCA,CERRO DE PASCO,27301
-10.5527119905|-76.2283152144,PASCO,PASCO,SAN FRANCISCO DE ASIS DE YARUSYACAN,YARUSYACAN,4770
-10.4795738934|-76.3925463813,PASCO,DANIEL ALCIDES CARRION,CHACAYAN,CHACAYAN,2158
-10.3408711164|-76.4172799738,PASCO,DANIEL ALCIDES CARRION,PAUCAR,PAUCAR,1882
-8.35837550385|-76.3977378217,SAN MARTIN,TOCACHE,UCHIZA,UCHIZA,22287
-8.27741636246|-76.5462363132,SAN MARTIN,TOCACHE,TOCACHE,TOCACHE,31167
-7.65207120999|-76.80913945,SAN MARTIN,MARISCAL CACERES,CAMPANILLA,CAMPANILLA,15431
-7.29432859863|-76.5686720517,SAN MARTIN,BELLAVISTA,HUALLAGA,LEDOY,2860
-7.06444665135|-76.6565084575,SAN MARTIN,HUALLAGA,TINGO DE SAPOSOA,TINGO DE SAPOSOA,831
-7.02649385047|-76.4956693111,SAN MARTIN,BELLAVISTA,SAN RAFAEL,SAN RAFAEL,6413
-6.99155537959|-76.7058137942,SAN MARTIN,HUALLAGA,EL ESLABON,EL ESLABON,2234
-6.97850920087|-76.4288522797,SAN MARTIN,PICOTA,SAN CRISTOBAL,PUERTO RICO,1258
-7.22679216013|-77.9681835688,CAJAMARCA,SAN MARCOS,JOSE SABOGAL,VENECIA,13441
-7.2983095532|-78.3666469179,CAJAMARCA,CAJAMARCA,JESUS,JESUS,16381
-13.9895901153|-73.5509681907,APURIMAC,ANDAHUAYLAS,HUAYANA,HUAYANA,771
-14.419368169|-73.0945034802,APURIMAC,AYMARAES,CARAYBAMBA,CARAYBAMBA,940
-14.3229723228|-72.9801581216,APURIMAC,ANTABAMBA,SABAINO,SABAINO,1094
-14.2910555229|-72.6773356408,APURIMAC,GRAU,VIRUNDO,SAN JUAN DE VIRUNDO,674
-14.2942553193|-73.2292836062,APURIMAC,AYMARAES,CHALHUANCA,CHALHUANCA,5157
-14.2313252575|-73.1598036025,APURIMAC,AYMARAES,YANACA,YANACA,954
-14.1756497892|-72.6062424649,APURIMAC,GRAU,SAN ANTONIO,SAN ANTONIO,266
-14.2260594684|-72.7577387514,APURIMAC,GRAU,PATAYPAMPA,PATAYPAMPA,805
-14.3325663438|-73.3582653313,APURIMAC,AYMARAES,SAÑAYCA,SAÑAYCA,1107
-14.1259572465|-72.6604436773,APURIMAC,GRAU,SANTA ROSA,SANTA ROSA,533
-14.2960428416|-73.4785255169,APURIMAC,ANDAHUAYLAS,PAMPACHIRI,PAMPACHIRI,2323
-14.1173718409|-72.7746262911,APURIMAC,GRAU,CHUQUIBAMBILLA,CHUQUIBAMBILLA,5328
-14.0786462597|-72.6362339363,APURIMAC,GRAU,VILCABAMBA,VILCABAMBA,1319
-14.139931374|-72.5746997389,APURIMAC,GRAU,MICAELA BASTIDAS,AYRIHUANCA,943
-14.0962804988|-73.4920982347,APURIMAC,ANDAHUAYLAS,POMACOCHA,POMACOCHA,879
-14.0979375293|-73.2440329586,APURIMAC,AYMARAES,HUAYLLO,HUAYLLO,441
-13.9974263879|-72.9912887467,APURIMAC,ABANCAY,CHACOCHE,CHACOCHE,1393
-13.7847877077|-73.0317318137,APURIMAC,ABANCAY,PICHIRHUA,PICHIRHUA,2828
-6.93951615063|-78.0694932067,CAJAMARCA,CELENDIN,JORGE CHAVEZ,LUCMAPAMPA,441
-7.2563429841|-78.821664375,CAJAMARCA,CONTUMAZA,CHILETE,CHILETE,2795
-7.32766242051|-78.863398427,CAJAMARCA,CONTUMAZA,SANTA CRUZ DE TOLED,SANTA CRUZ DE TOLED,1063
-7.27531159475|-78.949852016,CAJAMARCA,CONTUMAZA,TANTARICA,CATAN,2586
-6.9759116547|-79.1624872618,CAJAMARCA,SAN MIGUEL,BOLIVAR,BOLIVAR,1299
-6.89137200603|-78.7487037679,CAJAMARCA,SAN MIGUEL,LLAPA,LLAPA,4691
-7.00851773358|-79.2477747919,CAJAMARCA,SAN MIGUEL,NANCHOC,NANCHOC,1337
-7.08601213214|-78.7857843502,CAJAMARCA,SAN PABLO,SAN PABLO,SAN PABLO,13446
-6.98753855794|-78.6762048112,CAJAMARCA,SAN PABLO,TUMBADEN,TUMBADEN,3702
-8.11258569079|-79.0238590889,LA LIBERTAD,TRUJILLO,TRUJILLO,TRUJILLO,354838
-8.00104630326|-79.0585452981,LA LIBERTAD,TRUJILLO,HUANCHACO,HUANCHACO,79889
-8.25359293406|-78.8994037776,LA LIBERTAD,TRUJILLO,SALAVERRY,SALAVERRY,21464
-7.9183695748|-78.8270851334,LA LIBERTAD,TRUJILLO,SIMBAL,SIMBAL,4659
-7.66089880461|-79.0820681884,LA LIBERTAD,ASCOPE,ASCOPE,ASCOPE,7308
-7.80497700664|-79.0082235365,LA LIBERTAD,ASCOPE,CHICAMA,CHICAMA,16686
-7.72873706327|-79.3021664675,LA LIBERTAD,ASCOPE,PAIJAN,PAIJAN,28985
-7.84872760724|-78.582110437,LA LIBERTAD,OTUZCO,OTUZCO,OTUZCO,27825
-7.69045452769|-78.4517382508,LA LIBERTAD,OTUZCO,HUARANCHAL,HUARANCHAL,4540
-8.35330369503|-78.7352552612,LA LIBERTAD,VIRU,VIRU,VIRU,58345
-8.12796551154|-77.9808114883,LA LIBERTAD,SANTIAGO DE CHUCO,MOLLEBAMBA,MOLLEBAMBA,1933
-6.05696468023|-78.0935157786,AMAZONAS,LUYA,SANTA CATALINA,SANTA CATALINA,2110
-6.20719940523|-77.3342252094,AMAZONAS,RODRIGUEZ DE MENDOZA,VISTA ALEGRE,VISTA ALEGRE,3419
-6.00459367434|-78.0458068791,AMAZONAS,LUYA,SAN JERONIMO,PACLAS,644
-5.99638868782|-77.8790594036,AMAZONAS,BONGARA,SAN CARLOS,SAN CARLOS,488
-5.99613253802|-77.7432040507,AMAZONAS,CHACHAPOYAS,ASUNCION,ASUNCION,265
-5.88374674985|-78.052089155,AMAZONAS,BONGARA,SHIPASBAMBA,SHIPASBAMBA,1639
-5.82360433687|-77.9592017998,AMAZONAS,BONGARA,FLORIDA,FLORIDA (POMACOCHAS),6520
-5.81751877399|-77.8107241958,AMAZONAS,BONGARA,COROSHA,COROSHA,807
-5.71731096228|-78.6112459364,AMAZONAS,UTCUBAMBA,EL MILAGRO,EL MILAGRO,6561
-5.62263826358|-78.4739696775,AMAZONAS,BAGUA,EL PARCO,EL PARCO,1306
-5.38043114766|-78.4483373822,AMAZONAS,BAGUA,ARAMANGO,ARAMANGO,10733
-6.38533315492|-74.7295113102,LORETO,REQUENA,MAQUIA,SANTA ISABEL,8713
-6.32702643751|-73.7507104043,LORETO,REQUENA,SOPLIN,NUEVA ALEJANDRIA (CURINGA),685
-3.78227309811|-73.4326314367,LORETO,MAYNAS,IQUITOS,IQUITOS,168923
-4.27912451494|-73.1148146434,LORETO,MAYNAS,FERNANDO LORES,TAMSHIYACU,15519
-4.27492211676|-75.4846662463,LORETO,LORETO,URARINAS,CONCORDIA,13671
-3.6774966753|-70.8361347615,LORETO,MARISCAL RAMON CASTILLA,RAMON CASTILLA,CABALLOCOCHA,23380
-3.4327117783|-71.9646746097,LORETO,MARISCAL RAMON CASTILLA,PEBAS,PEBAS,13190
-4.47746309401|-72.0331143036,LORETO,MARISCAL RAMON CASTILLA,YAVARI,AMELIA,10414
-5.75171282541|-73.344436466,LORETO,REQUENA,YAQUERANA,ANGAMOS,2349
-6.93193005102|-75.0943127098,LORETO,UCAYALI,VARGAS GUERRA,ORELLANA,7817
-4.7275964226|-77.5185118696,LORETO,DATEM DEL MARAÑON,MANSERICHE,SARAMIRIZA,9697
-7.25928174968|-77.3215754538,SAN MARTIN,MARISCAL CACERES,HUICUNGO,HUICUNGO,9026
-6.96930293716|-77.0432954389,SAN MARTIN,MARISCAL CACERES,PACHIZA,PACHIZA,6456
-6.88883849625|-76.8737539605,SAN MARTIN,HUALLAGA,SAPOSOA,SAPOSOA,14879
-6.08890186407|-77.1000937024,SAN MARTIN,MOYOBAMBA,HABANA,HABANA,1757
-6.78342256111|-76.2689700507,SAN MARTIN,PICOTA,PILLUANA,PILLUANA,902
-6.81743258632|-76.1286175266,SAN MARTIN,PICOTA,TRES UNIDOS,TRES UNIDOS,4307
-6.61165135243|-76.7202348532,SAN MARTIN,EL DORADO,SAN JOSE DE SISA,SAN JOSE DE SISA,16862
-6.62125836355|-76.3506792743,SAN MARTIN,SAN MARTIN,JUAN GUERRA,JUAN GUERRA,4132
-6.47725901212|-76.2722677194,SAN MARTIN,SAN MARTIN,LA BANDA DE SHILCAYO,LA BANDA,46604
-6.50804787426|-76.4169957393,SAN MARTIN,SAN MARTIN,MORALES,MORALES,40253
-6.39906025283|-76.5260419804,SAN MARTIN,LAMAS,LAMAS,LAMAS,15700
-6.40813284213|-76.5778508165,SAN MARTIN,LAMAS,SHANAO,SHANAO,2109
-6.38865034392|-76.6552378213,SAN MARTIN,LAMAS,TABALOSOS,TABALOSOS,14832
-6.31131377602|-76.7729484432,SAN MARTIN,LAMAS,ALONSO DE ALVARADO,ROQUE,15225
-6.27274273165|-77.0541424984,SAN MARTIN,MOYOBAMBA,SORITOR,SORITOR,24034
-6.15775119087|-76.712942475,SAN MARTIN,LAMAS,PINTO RECODO,PINTO RECODO,9584
-6.20374626467|-76.538562369,SAN MARTIN,LAMAS,SAN ROQUE DE CUMBAZA,SAN ROQUE DE CUMBAZA,1729
-5.76832541083|-77.1699048002,SAN MARTIN,MOYOBAMBA,MOYOBAMBA,MOYOBAMBA,84601
-5.74870712093|-77.6341466575,SAN MARTIN,RIOJA,PARDO MIGUEL,NARANJOS,17996
-6.12741096746|-78.9309468464,CAJAMARCA,CUTERVO,CALLAYUC,CALLAYUC,9923
-12.2616369343|-76.3653202996,LIMA,HUAROCHIRI,MARIATANA,MARIATANA,1571
-11.9140806003|-76.5014098037,LIMA,HUAROCHIRI,SAN BARTOLOME,SAN BARTOLOME,1374
-11.718968603|-76.4690906614,LIMA,HUAROCHIRI,SAN JUAN DE IRIS,SAN JUAN DE IRIS,768
-11.8197846868|-76.2189828479,LIMA,HUAROCHIRI,SAN MATEO,SAN MATEO,4620
-12.0867091501|-76.1966380546,LIMA,HUAROCHIRI,SAN PEDRO DE HUANCAYRE,SAN PEDRO,236
-11.9780616838|-76.5284597245,LIMA,HUAROCHIRI,SANTIAGO DE TUNA,SANTIAGO DE TUNA,476
-12.7664935936|-75.6728381105,LIMA,YAUYOS,HONGOS,HONGOS,360
-12.6902905293|-75.7360981401,LIMA,YAUYOS,TUPE,TUPE,575
-12.8875592348|-75.7704274289,LIMA,YAUYOS,VIÑAC,VIÑAC,1855
-11.3464536297|-76.7610537145,LIMA,HUARAL,ATAVILLOS BAJO,SAN AGUSTIN DE HUAYOPAMPA,1103
-6.58558501491|-79.0363568143,CAJAMARCA,SANTA CRUZ,SEXI,SEXI,426
-6.73982967053|-79.8425872766,LAMBAYEQUE,CHICLAYO,JOSE LEONARDO ORTIZ,JOSE LEONARDO ORTIZ,170581
-6.23120472577|-79.3871260586,LAMBAYEQUE,FERREÑAFE,INCAHUASI,INCAHUASI,15218
-6.71639249456|-79.7725775674,LAMBAYEQUE,CHICLAYO,PICSI,PICSI,13924
-6.79943333042|-79.9035375985,LAMBAYEQUE,CHICLAYO,PIMENTEL,PIMENTEL,49058
-6.7817538872|-79.7590375825,LAMBAYEQUE,CHICLAYO,POMALCA,POMALCA,27193
-6.79462920259|-79.5137262547,LAMBAYEQUE,CHICLAYO,PUCALA,PUCALA,9477
-6.62050180317|-79.7911632795,LAMBAYEQUE,FERREÑAFE,FERREÑAFE,FERREÑAFE,37988
-6.62989787975|-79.8244314908,LAMBAYEQUE,FERREÑAFE,PUEBLO NUEVO,PUEBLO NUEVO,15567
-6.67395784729|-79.9328976163,LAMBAYEQUE,LAMBAYEQUE,LAMBAYEQUE,LAMBAYEQUE,78543
-6.5628193315|-79.8875151121,LAMBAYEQUE,LAMBAYEQUE,MOCHUMI,MOCHUMI,20060
-6.76605963038|-79.9369149137,LAMBAYEQUE,LAMBAYEQUE,SAN JOSE,SAN JOSE,16785
-6.50330862013|-79.8762753274,LAMBAYEQUE,LAMBAYEQUE,TUCUME,TUCUME,24224
-6.68551917642|-78.7076814974,CAJAMARCA,HUALGAYOC,CHUGUR,CHUGUR,3032
-4.83829981961|-80.6832530866,PIURA,SULLANA,SALITRAL,SALITRAL,7652
-5.91946876249|-80.6604774584,PIURA,SECHURA,SECHURA,SECHURA,48230
-5.30899082575|-80.7625713371,PIURA,PIURA,LA ARENA,LA ARENA,41321
-13.7440844282|-75.8179854907,ICA,PISCO,HUMAY,HUMAY,6156
-13.6468601048|-76.0129967547,ICA,PISCO,INDEPENDENCIA,INDEPENDENCIA,15042
-17.3837602711|-70.5709798071,TACNA,JORGE BASADRE,ILABAYA,ILABAYA,6630
-17.8035161755|-70.9329951453,TACNA,JORGE BASADRE,ITE,ITE,3297
-17.2292211754|-71.0612372747,MOQUEGUA,MARISCAL NIETO,MOQUEGUA,MOQUEGUA,71688
-17.1566784516|-70.8526004078,MOQUEGUA,MARISCAL NIETO,SAMEGUA,SAMEGUA,9348
-16.6633973295|-70.6446532952,MOQUEGUA,MARISCAL NIETO,SAN CRISTOBAL,CALACOA,1993
-16.9981190442|-70.7383213374,MOQUEGUA,MARISCAL NIETO,TORATA,TORATA,7198
-16.6466473274|-70.9629954573,MOQUEGUA,GENERAL SANCHEZ CERRO,OMATE,OMATE,3564
-16.4570196196|-70.5712518191,MOQUEGUA,GENERAL SANCHEZ CERRO,CHOJATA,CHOJATA,807
-16.1882307942|-70.4947181066,MOQUEGUA,GENERAL SANCHEZ CERRO,ICHUÑA,ICHUÑA,3437
-17.9570154522|-70.6676980665,TACNA,TACNA,SAMA,LAS YARAS,3720
-17.0419322251|-70.2478566082,TACNA,CANDARAVE,CANDARAVE,CANDARAVE,2780
-17.3941320557|-70.333878019,TACNA,CANDARAVE,CURIBAYA,CURIBAYA,433
-17.8333560868|-70.278895919,TACNA,TACNA,ALTO DE LA ALIANZA,LA ESPERANZA,37507
-7.35019744094|-79.5470908418,LA LIBERTAD,PACASMAYO,JEQUETEPEQUE,JEQUETEPEQUE,4557
-7.36981082284|-79.3856709871,LA LIBERTAD,PACASMAYO,SAN JOSE,SAN JOSE,13104
-8.12440738373|-77.3827555524,LA LIBERTAD,PATAZ,BULDIBUYO,BULDIBUYO,4321
-8.16083270321|-77.520896839,LA LIBERTAD,PATAZ,CHILLIA,CHILLIA,13175
-8.43914776739|-77.2681947173,LA LIBERTAD,PATAZ,HUANCASPATA,HUANCASPATA,6701
-7.57668497424|-79.1949417302,LA LIBERTAD,ASCOPE,CASA GRANDE,CASA GRANDE,31657
-7.5615634866|-77.5975524238,LA LIBERTAD,BOLIVAR,CONDORMARCA,CONDORMARCA,2236
-7.05649072848|-77.9101186427,LA LIBERTAD,BOLIVAR,LONGOTEA,LONGOTEA,2453
-7.15323377282|-77.8505971104,LA LIBERTAD,BOLIVAR,UCUNCHA,UCUNCHA,934
-8.03289551674|-78.6362747403,LA LIBERTAD,OTUZCO,SALPO,SALPO,6853
-7.48357163078|-79.4048785917,LA LIBERTAD,PACASMAYO,SAN PEDRO DE LLOC,SAN PEDRO DE LLOC,19713
-8.5598939499|-78.5064136854,LA LIBERTAD,VIRU,CHAO,CHAO,36374
-7.82673345932|-78.0460792301,LA LIBERTAD,SANCHEZ CARRION,HUAMACHUCO,HUAMACHUCO,76108
-8.34914027599|-78.2446123387,LA LIBERTAD,SANTIAGO DE CHUCO,SANTIAGO DE CHUCO,SANTIAGO DE CHUCO,21064
-10.5861738861|-73.4365950838,UCAYALI,ATALAYA,RAYMONDI,ATALAYA,39819
-9.97143690744|-73.8269401957,UCAYALI,ATALAYA,TAHUANIA,BOLOGNESI,10248
-9.44298791367|-74.1372239891,UCAYALI,CORONEL PORTILLO,IPARIA,IPARIA,12510
-8.82493349566|-75.0479831451,UCAYALI,PADRE ABAD,ALEXANDER VON HUMBOLDT,ALEXANDER VON HUMBOLDT,6556
