Geo Point,NOMBDEP,NOMBPROV,NOMBDIST,CAPITAL,POBLACION
-14.3363833156|-69.9289143537,PUNO,CARABAYA,CRUCERO,CRUCERO,9912
-14.1407754622|-69.9383078577,PUNO,CARABAYA,USICAYOS,USICAYOS,9370
-15.4268291382|-71.9360122562,AREQUIPA,CAYLLOMA,TAPAY,TAPAY,815
-8.26344854159|-78.0048510025,ANCASH,PALLASCA,PALLASCA,PALLASCA,2592
-8.44606921561|-78.0555682742,ANCASH,PALLASCA,TAUCA,TAUCA,2933
-8.79036938394|-77.506526265,ANCASH,POMABAMBA,POMABAMBA,POMABAMBA,15217
-9.21658783702|-76.6443863877,HUANUCO,HUAMALIES,JIRCAN,JIRCAN,1470
-8.60481772776|-77.1730563708,HUANUCO,MARAÑON,HUACRACHUCO,HUACRACHUCO,15267
-8.76878638235|-77.1480333293,HUANUCO,MARAÑON,SAN BUENAVENTURA,SAN BUENAVENTURA,2193
-11.1276234934|-75.625730678,JUNIN,TARMA,HUASAHUASI,HUASAHUASI,11065
-11.0327769775|-75.3564454947,JUNIN,CHANCHAMAYO,CHANCHAMAYO,LA MERCED,29354
-9.21843039554|-77.0417404197,ANCASH,ANTONIO RAYMONDI,SAN JUAN DE RONTOY,SAN JUAN DE RONTOY,1234
-9.20558144115|-77.3975983531,ANCASH,ASUNCION,CHACAS,CHACAS,4977
-9.0972086181|-77.4057477414,ANCASH,ASUNCION,ACOCHACA,ACOCHACA,3115
-9.09716346082|-77.2909615375,ANCASH,CARLOS FERMIN FITZCARRALD,SAN LUIS,SAN LUIS,11472
-10.4401570339|-77.3586725964,ANCASH,OCROS,SANTIAGO DE CHILCAS,SANTIAGO DE CHILCAS,446
-10.1080370429|-77.5874870379,ANCASH,RECUAY,LLACLLIN,LLACLLIN,946
-10.0940830462|-77.3732343815,ANCASH,RECUAY,PAMPAS CHICO,PAMPAS CHICO,966
-9.17748905047|-77.7589653745,ANCASH,YUNGAY,MATACOTO,MATACOTO,1540
-9.31686585435|-77.9490314419,ANCASH,YUNGAY,QUILLO,QUILLO,13254
-9.16010158857|-77.696672033,ANCASH,YUNGAY,RANRAHIRCA,RANRAHIRCA,2988
-9.34444504167|-77.7894985426,ANCASH,YUNGAY,SHUPLUY,SHUPLUY,2001
-8.78792491524|-77.917483655,ANCASH,HUAYLAS,HUALLANCA,HUALLANCA,1096
-9.03006908047|-77.8765824905,ANCASH,HUAYLAS,HUATA,HUATA,1448
-8.95802825536|-77.8909653575,ANCASH,HUAYLAS,MATO,SUCRE,2027
-9.00766532178|-77.2564353652,ANCASH,CARLOS FERMIN FITZCARRALD,YAUYA,YAUYA,4441
